,Structure,HADDOCK_Score,Evdw,Eelec,Edesolv,Total_Energy,Run_Name,Run_ID
481,complex_14w.pdb,-55.0636,-0.812409,-416.348,3.84634,-413.314069,Terminal Fold2,668631-terminal_fold2
482,complex_88w.pdb,-39.2982,-14.3953,-109.594,3.95821,-120.03109,Terminal Fold2,668631-terminal_fold2
483,complex_121w.pdb,-50.4971,-7.55859,-179.701,3.42431,-183.83528,Terminal Fold2,668631-terminal_fold2
484,complex_34w.pdb,-45.7223,-16.9783,-96.6279,3.09689,-110.50931,Terminal Fold2,668631-terminal_fold2
485,complex_171w.pdb,-46.1704,-7.21135,-246.456,4.57416,-249.09319,Terminal Fold2,668631-terminal_fold2
486,complex_135w.pdb,-42.8278,-14.5228,-82.9905,5.14485,-92.36845,Terminal Fold2,668631-terminal_fold2
487,complex_125w.pdb,-46.8169,-12.5589,-164.437,2.99543,-174.00047,Terminal Fold2,668631-terminal_fold2
488,complex_97w.pdb,-57.2745,-14.7029,-222.596,5.2933,-232.00560000000002,Terminal Fold2,668631-terminal_fold2
489,complex_68w.pdb,-51.2756,-15.4804,-195.884,3.97661,-207.38779,Terminal Fold2,668631-terminal_fold2
490,complex_199w.pdb,-48.5754,-16.9919,-113.327,4.86021,-125.45868999999999,Terminal Fold2,668631-terminal_fold2
491,complex_20w.pdb,-58.4601,-15.1406,-50.089,1.86594,-63.36366,Terminal Fold2,668631-terminal_fold2
492,complex_116w.pdb,-42.6504,-2.38817,-285.493,4.03289,-283.84828,Terminal Fold2,668631-terminal_fold2
493,complex_76w.pdb,-48.2493,-9.42701,-263.042,3.695,-268.77401,Terminal Fold2,668631-terminal_fold2
494,complex_112w.pdb,-58.4018,-8.64016,-86.5654,3.5045,-91.70105999999998,Terminal Fold2,668631-terminal_fold2
495,complex_138w.pdb,-47.4236,-12.3625,-247.401,5.5011,-254.2624,Terminal Fold2,668631-terminal_fold2
496,complex_108w.pdb,-62.9317,-14.5336,-331.17,4.08843,-341.61517,Terminal Fold2,668631-terminal_fold2
497,complex_157w.pdb,-42.0494,-12.8975,-196.387,4.10303,-205.18147000000002,Terminal Fold2,668631-terminal_fold2
498,complex_145w.pdb,-53.8023,-13.5989,-250.11,5.47582,-258.23308000000003,Terminal Fold2,668631-terminal_fold2
499,complex_187w.pdb,-36.0125,-8.46303,-47.2962,2.13827,-53.620960000000004,Terminal Fold2,668631-terminal_fold2
500,complex_51w.pdb,-34.777,-3.22199,-296.949,5.38414,-294.78685,Terminal Fold2,668631-terminal_fold2
501,complex_41w.pdb,-48.5306,-10.3464,-249.354,4.57542,-255.12498,Terminal Fold2,668631-terminal_fold2
